#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_153230_cov_39.213473:103600-104142|- -            181 9809075              -            151   3.3e-43  144.8   1.1   1   1   1.3e-45   5.3e-43  144.1   1.1     2   150     5   179     4   180 0.83 NODE_11_length_153230_cov_39.213473_97 # 103600 # 104142 # -1 # ID=11_97;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.401
NODE_6_length_338063_cov_36.607788:158018-158536|+  -            173 9809075              -            151   4.2e-07   27.6   0.2   1   1   1.5e-08   6.3e-06   23.8   0.2     2   138     7   159     6   170 0.72 NODE_6_length_338063_cov_36.607788_125 # 158018 # 158536 # 1 # ID=6_125;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.459
NODE_25_length_59335_cov_37.855614:56632-57258|+    -            209 9809075              -            151   5.4e-06   24.0   1.1   1   2    0.0016      0.65    7.5   0.1     3    56    36    84    34   119 0.80 NODE_25_length_59335_cov_37.855614_55 # 56632 # 57258 # 1 # ID=25_55;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.509
NODE_25_length_59335_cov_37.855614:56632-57258|+    -            209 9809075              -            151   5.4e-06   24.0   1.1   2   2   5.5e-06    0.0023   15.4   0.1    94   135   150   188   135   196 0.82 NODE_25_length_59335_cov_37.855614_55 # 56632 # 57258 # 1 # ID=25_55;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.509
NODE_4_length_379350_cov_35.042700:6283-6816|-      -            178 9809075              -            151   3.2e-05   21.5   0.7   1   1     5e-07   0.00021   18.8   0.7     3   125    13   150    11   162 0.76 NODE_4_length_379350_cov_35.042700_7 # 6283 # 6816 # -1 # ID=4_7;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=14bp;gc_cont=0.401
NODE_4_length_379350_cov_35.042700:195242-195880|-  -            213 9809075              -            151   7.4e-05   20.3   0.3   1   2    0.0022      0.93    7.0   0.0     3    56    39    87    37   111 0.78 NODE_4_length_379350_cov_35.042700_169 # 195242 # 195880 # -1 # ID=4_169;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=14bp;gc_cont=0.499
NODE_4_length_379350_cov_35.042700:195242-195880|-  -            213 9809075              -            151   7.4e-05   20.3   0.3   2   2   9.3e-05     0.039   11.5   0.1    94   132   153   190   132   202 0.83 NODE_4_length_379350_cov_35.042700_169 # 195242 # 195880 # -1 # ID=4_169;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=14bp;gc_cont=0.499
NODE_13_length_112248_cov_33.996069:68944-69462|-   -            173 9809075              -            151   0.00015   19.3   0.0   1   2      0.31   1.3e+02    0.0   0.0    43    63    40    60     4    70 0.76 NODE_13_length_112248_cov_33.996069_70 # 68944 # 69462 # -1 # ID=13_70;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.588
NODE_13_length_112248_cov_33.996069:68944-69462|-   -            173 9809075              -            151   0.00015   19.3   0.0   2   2   1.7e-06   0.00073   17.1   0.0    97   137   113   152    99   165 0.85 NODE_13_length_112248_cov_33.996069_70 # 68944 # 69462 # -1 # ID=13_70;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.588
NODE_8_length_282777_cov_37.165398:47911-48342|+    -            144 9809075              -            151    0.0011   16.5   1.4   1   1   6.5e-06    0.0027   15.2   1.4    94   132    85   122    10   131 0.85 NODE_8_length_282777_cov_37.165398_40 # 47911 # 48342 # 1 # ID=8_40;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=10bp;gc_cont=0.481
NODE_1_length_523019_cov_35.337313:180913-181452|-  -            180 9809075              -            151    0.0012   16.4   3.6   1   3     0.099        42    1.6   0.0     2    25     6    29     5    54 0.87 NODE_1_length_523019_cov_35.337313_159 # 180913 # 181452 # -1 # ID=1_159;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.485
