locus_tag	ftype	length_bp	gene	EC_number	COG	product
GMFCDEOL_00001	gene	75				
GMFCDEOL_00001	tRNA	75				tRNA-Asp(gtc)
GMFCDEOL_00002	gene	2076				
GMFCDEOL_00002	CDS	2076				hypothetical protein
GMFCDEOL_00003	gene	408				
GMFCDEOL_00003	CDS	408				hypothetical protein
GMFCDEOL_00004	gene	243				
GMFCDEOL_00004	CDS	243				hypothetical protein
GMFCDEOL_00005	gene	822				
GMFCDEOL_00005	CDS	822				hypothetical protein
GMFCDEOL_00006	gene	366				
GMFCDEOL_00006	CDS	366				hypothetical protein
GMFCDEOL_00007	gene	807				
GMFCDEOL_00007	CDS	807				hypothetical protein
GMFCDEOL_00008	gene	894				
GMFCDEOL_00008	CDS	894				putative HTH-type transcriptional regulator
GMFCDEOL_00009	gene	180				
GMFCDEOL_00009	CDS	180				hypothetical protein
GMFCDEOL_00010	gene	840	mutM			
GMFCDEOL_00010	CDS	840	mutM	3.2.2.23		Formamidopyrimidine-DNA glycosylase
GMFCDEOL_00011	gene	594	ydeA			
GMFCDEOL_00011	CDS	594	ydeA	3.2.-.-	COG0693	putative protease YdeA
GMFCDEOL_00012	gene	732				
GMFCDEOL_00012	CDS	732				hypothetical protein
GMFCDEOL_00013	gene	486				
GMFCDEOL_00013	CDS	486				hypothetical protein
GMFCDEOL_00014	gene	393	nudG			
GMFCDEOL_00014	CDS	393	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
GMFCDEOL_00015	gene	933				
GMFCDEOL_00015	CDS	933				hypothetical protein
GMFCDEOL_00016	gene	1038	rlmF			
GMFCDEOL_00016	CDS	1038	rlmF	2.1.1.181	COG3129	Ribosomal RNA large subunit methyltransferase F
GMFCDEOL_00017	gene	474				
GMFCDEOL_00017	CDS	474				hypothetical protein
GMFCDEOL_00018	gene	3666				
GMFCDEOL_00018	CDS	3666				hypothetical protein
GMFCDEOL_00019	gene	561				
GMFCDEOL_00019	CDS	561				hypothetical protein
GMFCDEOL_00020	gene	1215				
GMFCDEOL_00020	CDS	1215				hypothetical protein
GMFCDEOL_00021	gene	933				
GMFCDEOL_00021	CDS	933				hypothetical protein
GMFCDEOL_00022	gene	297				
GMFCDEOL_00022	CDS	297				hypothetical protein
GMFCDEOL_00023	gene	1131				
GMFCDEOL_00023	CDS	1131				hypothetical protein
GMFCDEOL_00024	gene	138				
GMFCDEOL_00024	CDS	138				hypothetical protein
GMFCDEOL_00025	gene	492				
GMFCDEOL_00025	CDS	492				hypothetical protein
GMFCDEOL_00026	gene	741				
GMFCDEOL_00026	CDS	741		1.-.-.-	COG4221	putative oxidoreductase
GMFCDEOL_00027	gene	270				
GMFCDEOL_00027	CDS	270				hypothetical protein
GMFCDEOL_00028	gene	264				
GMFCDEOL_00028	CDS	264				hypothetical protein
GMFCDEOL_00029	gene	1326				
GMFCDEOL_00029	CDS	1326				hypothetical protein
GMFCDEOL_00030	gene	858				
GMFCDEOL_00030	CDS	858				hypothetical protein
GMFCDEOL_00031	gene	1707				
GMFCDEOL_00031	CDS	1707				hypothetical protein
GMFCDEOL_00032	gene	1644	pfp_1			
GMFCDEOL_00032	CDS	1644	pfp_1	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
GMFCDEOL_00033	gene	2820				
GMFCDEOL_00033	CDS	2820				hypothetical protein
GMFCDEOL_00034	gene	897				
GMFCDEOL_00034	CDS	897				hypothetical protein
GMFCDEOL_00035	gene	1911				
GMFCDEOL_00035	CDS	1911				hypothetical protein
GMFCDEOL_00036	gene	3378	susC_1			
GMFCDEOL_00036	CDS	3378	susC_1		COG1629	TonB-dependent receptor SusC
GMFCDEOL_00037	gene	753				
GMFCDEOL_00037	CDS	753				hypothetical protein
GMFCDEOL_00038	gene	270				
GMFCDEOL_00038	CDS	270				hypothetical protein
GMFCDEOL_00039	gene	549				
GMFCDEOL_00039	CDS	549				hypothetical protein
GMFCDEOL_00040	gene	1377	oprM_1			
GMFCDEOL_00040	CDS	1377	oprM_1			Outer membrane protein OprM
GMFCDEOL_00041	gene	3147	bepE_1			
GMFCDEOL_00041	CDS	3147	bepE_1			multidrug efflux RND transporter permease subunit BepE
GMFCDEOL_00042	gene	1191	bepF_1			
GMFCDEOL_00042	CDS	1191	bepF_1			Efflux pump periplasmic linker BepF
GMFCDEOL_00043	gene	2211				
GMFCDEOL_00043	CDS	2211				hypothetical protein
GMFCDEOL_00044	gene	294				
GMFCDEOL_00044	CDS	294				hypothetical protein
GMFCDEOL_00045	gene	270				
GMFCDEOL_00045	CDS	270				hypothetical protein
GMFCDEOL_00046	gene	558				
GMFCDEOL_00046	CDS	558				hypothetical protein
GMFCDEOL_00047	gene	771	yafV			
