# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb12 (Creation date: 2025-05-14, number of genomes: 3130, number of BUSCOs: 116)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5293449at2	Complete	NODE_25_length_59335_cov_37.855614	46921	47523	+	149.4	164
9759736at2	Complete	NODE_3_length_402718_cov_33.543387	296241	298238	+	489.5	534
9767721at2	Complete	NODE_18_length_83461_cov_37.247170	73993	72638	-	215.1	424
9771806at2	Complete	NODE_8_length_282777_cov_37.165398	189858	188782	-	343.6	299
9776390at2	Complete	NODE_7_length_286996_cov_37.800226	233096	232095	-	171.3	215
9776733at2	Complete	NODE_6_length_338063_cov_36.607788	247101	246058	-	492.6	304
9778364at2	Complete	NODE_2_length_424706_cov_34.285840	196816	195545	-	473.8	365
9778722at2	Complete	NODE_11_length_153230_cov_39.213473	84410	83586	-	435.1	276
9781053at2	Complete	NODE_29_length_48373_cov_35.284868	47278	47961	+	199.0	196
9782003at2	Complete	NODE_25_length_59335_cov_37.855614	35814	37169	+	310.1	311
9788336at2	Complete	NODE_8_length_282777_cov_37.165398	123211	123654	+	86.9	119
9790352at2	Complete	NODE_5_length_339081_cov_37.984555	201880	202608	+	236.9	248
9791908at2	Complete	NODE_16_length_96149_cov_39.011366	57918	57412	-	193.1	128
9793681at2	Complete	NODE_7_length_286996_cov_37.800226	78242	77883	-	128.8	113
9797833at2	Complete	NODE_11_length_153230_cov_39.213473	83565	83296	-	137.5	78
9799262at2	Duplicated	NODE_27_length_55795_cov_35.058976	19977	19708	-	123.0	87
9799262at2	Duplicated	NODE_27_length_55795_cov_35.058976	35819	36088	+	123.0	87
9800507at2	Complete	NODE_6_length_338063_cov_36.607788	232863	232300	-	219.3	178
9800696at2	Duplicated	NODE_26_length_56437_cov_36.985611	40443	39355	-	393.1	351
9800696at2	Duplicated	NODE_5_length_339081_cov_37.984555	168100	167009	-	356.4	351
9800696at2	Duplicated	NODE_4_length_379350_cov_35.042700	331951	330890	-	334.2	346
9800719at2	Complete	NODE_1_length_523019_cov_35.337313	257684	258703	+	466.7	336
9801107at2	Complete	NODE_29_length_48373_cov_35.284868	7183	5582	-	582.3	446
9801213at2	Duplicated	NODE_6_length_338063_cov_36.607788	335855	334449	-	330.5	427
9801213at2	Duplicated	NODE_10_length_157613_cov_33.680873	43771	41888	-	300.8	417
9801330at2	Complete	NODE_26_length_56437_cov_36.985611	48757	48296	-	131.8	108
9801549at2	Complete	NODE_7_length_286996_cov_37.800226	247323	246382	-	319.2	263
9801753at2	Missing
9802065at2	Complete	NODE_32_length_39492_cov_37.984904	25806	27329	+	616.1	480
9802219at2	Complete	NODE_6_length_338063_cov_36.607788	8067	9590	+	302.0	252
9802304at2	Complete	NODE_4_length_379350_cov_35.042700	23967	22027	-	598.0	455
9802309at2	Complete	NODE_5_length_339081_cov_37.984555	285744	285043	-	212.6	190
9802366at2	Complete	NODE_11_length_153230_cov_39.213473	89583	89182	-	213.8	119
9802408at2	Complete	NODE_11_length_153230_cov_39.213473	103539	103096	-	228.0	140
9802554at2	Complete	NODE_30_length_44885_cov_33.825232	39389	40582	+	517.2	390
9802589at2	Complete	NODE_11_length_153230_cov_39.213473	82086	81652	-	147.8	107
9802617at2	Complete	NODE_11_length_153230_cov_39.213473	79556	79161	-	133.2	115
9802672at2	Complete	NODE_2_length_424706_cov_34.285840	398726	399343	+	235.6	188
9803017at2	Complete	NODE_7_length_286996_cov_37.800226	41056	40565	-	132.6	149
9803201at2	Complete	NODE_11_length_153230_cov_39.213473	85349	84723	-	264.9	202
9803250at2	Complete	NODE_11_length_153230_cov_39.213473	74855	74637	-	126.5	68
9803420at2	Complete	NODE_5_length_339081_cov_37.984555	94364	93759	-	263.8	180
9803474at2	Complete	NODE_6_length_338063_cov_36.607788	63215	62946	-	119.3	62
9803541at2	Complete	NODE_15_length_100586_cov_37.517506	23131	23484	+	149.4	110
9803610at2	Complete	NODE_11_length_153230_cov_39.213473	74478	74098	-	152.9	102
9803667at2	Complete	NODE_16_length_96149_cov_39.011366	80169	81098	+	303.2	283
9803672at2	Complete	NODE_11_length_153230_cov_39.213473	73577	72972	-	218.6	180
9803740at2	Complete	NODE_11_length_153230_cov_39.213473	103080	102382	-	290.3	201
9803773at2	Complete	NODE_8_length_282777_cov_37.165398	23642	21639	-	358.5	376
9803884at2	Complete	NODE_7_length_286996_cov_37.800226	63979	61361	-	1105.0	853
9803954at2	Complete	NODE_11_length_153230_cov_39.213473	101326	97514	-	1228.1	860
9803965at2	Complete	NODE_26_length_56437_cov_36.985611	48289	47903	-	127.0	111
9804006at2	Complete	NODE_23_length_70738_cov_38.126081	36854	37414	+	244.4	184
9804072at2	Complete	NODE_13_length_112248_cov_33.996069	26965	26249	-	174.0	186
9804243at2	Complete	NODE_5_length_339081_cov_37.984555	278095	276803	-	476.7	381
9804305at2	Complete	NODE_44_length_13308_cov_36.472300	9312	7186	-	1013.8	697
9804464at2	Complete	NODE_11_length_153230_cov_39.213473	86290	85985	-	163.1	100
9804478at2	Complete	NODE_5_length_339081_cov_37.984555	224917	223889	-	471.9	301
