#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3_length_402718_cov_33.543387:294359-295270|+ -            304 36608                -            304   8.6e-92  305.3   6.8   1   1   1.7e-94     1e-91  305.1   6.8     3   301     2   300     1   302 0.97 NODE_3_length_402718_cov_33.543387_279 # 294359 # 295270 # 1 # ID=3_279;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.410
NODE_21_length_74080_cov_35.320109:7229-8224|-     -            332 36608                -            304   2.8e-48  162.4   0.0   1   1   5.9e-51   3.4e-48  162.1   0.0    10   283    53   330    46   331 0.89 NODE_21_length_74080_cov_35.320109_7 # 7229 # 8224 # -1 # ID=21_7;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.455
NODE_13_length_112248_cov_33.996069:25220-26194|-  -            325 36608                -            304   1.1e-33  114.5   0.1   1   1   5.8e-36   3.3e-33  112.9   0.1     3   300     2   299     1   302 0.89 NODE_13_length_112248_cov_33.996069_24 # 25220 # 26194 # -1 # ID=13_24;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.423
NODE_33_length_37957_cov_36.578115:13218-14195|+   -            326 36608                -            304   1.2e-11   42.1   0.1   1   2   4.5e-12   2.6e-09   34.4   0.0    81   190    53   169    49   177 0.84 NODE_33_length_37957_cov_36.578115_14 # 13218 # 14195 # 1 # ID=33_14;partial=00;start_type=ATG;rbs_motif=TAGAA;rbs_spacer=12bp;gc_cont=0.503
NODE_33_length_37957_cov_36.578115:13218-14195|+   -            326 36608                -            304   1.2e-11   42.1   0.1   2   2    0.0028       1.6    5.6   0.0   234   284   193   245   183   254 0.81 NODE_33_length_37957_cov_36.578115_14 # 13218 # 14195 # 1 # ID=33_14;partial=00;start_type=ATG;rbs_motif=TAGAA;rbs_spacer=12bp;gc_cont=0.503
NODE_4_length_379350_cov_35.042700:262168-263142|- -            325 36608                -            304   4.5e-10   37.0   0.0   1   2     0.014       8.4    3.2   0.0   143   188    56   101    45   106 0.91 NODE_4_length_379350_cov_35.042700_221 # 262168 # 263142 # -1 # ID=4_221;partial=00;start_type=TTG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.493
NODE_4_length_379350_cov_35.042700:262168-263142|- -            325 36608                -            304   4.5e-10   37.0   0.0   2   2   4.6e-11   2.7e-08   31.1   0.1   211   283   149   220   129   232 0.86 NODE_4_length_379350_cov_35.042700_221 # 262168 # 263142 # -1 # ID=4_221;partial=00;start_type=TTG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.493
NODE_30_length_44885_cov_33.825232:1893-2645|+     -            251 36608                -            304   1.9e-06   25.0   0.0   1   2   2.2e-07   0.00013   19.1   0.0   225   282    63   119    59   124 0.93 NODE_30_length_44885_cov_33.825232_3 # 1893 # 2645 # 1 # ID=30_3;partial=00;start_type=GTG;rbs_motif=TAAA;rbs_spacer=9bp;gc_cont=0.518
NODE_30_length_44885_cov_33.825232:1893-2645|+     -            251 36608                -            304   1.9e-06   25.0   0.0   2   2    0.0092       5.3    3.9   0.0   224   253   183   212   180   235 0.76 NODE_30_length_44885_cov_33.825232_3 # 1893 # 2645 # 1 # ID=30_3;partial=00;start_type=GTG;rbs_motif=TAAA;rbs_spacer=9bp;gc_cont=0.518
NODE_8_length_282777_cov_37.165398:268175-269407|+ -            411 36608                -            304    0.0012   15.8   0.0   1   2      0.47   2.7e+02   -1.7   0.0   146   188   200   252   187   255 0.49 NODE_8_length_282777_cov_37.165398_220 # 268175 # 269407 # 1 # ID=8_220;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=11bp;gc_cont=0.482
NODE_8_length_282777_cov_37.165398:268175-269407|+ -            411 36608                -            304    0.0012   15.8   0.0   2   2     7e-06    0.0041   14.1   0.0   232   282   315   364   311   372 0.91 NODE_8_length_282777_cov_37.165398_220 # 268175 # 269407 # 1 # ID=8_220;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=11bp;gc_cont=0.482
NODE_18_length_83461_cov_37.247170:66672-68147|-   -            492 36608                -            304     0.019   11.9   0.1   1   3      0.82   4.8e+02   -2.5   0.1    12    54    42    84    36   118 0.68 NODE_18_length_83461_cov_37.247170_55 # 66672 # 68147 # -1 # ID=18_55;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.482
