#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_22_length_72694_cov_38.560489:57864-59903|+   -            680 9810191              -            634  7.1e-230  763.0   0.0   1   1  8.8e-233  8.1e-230  762.8   0.0     3   633     5   672     3   679 0.90 NODE_22_length_72694_cov_38.560489_54 # 57864 # 59903 # 1 # ID=22_54;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.486
NODE_5_length_339081_cov_37.984555:335390-338221|- -            944 9810191              -            634   5.8e-29   99.3   0.4   1   4   1.3e-21   1.2e-18   65.2   0.1     2   125    29   154    28   197 0.90 NODE_5_length_339081_cov_37.984555_271 # 335390 # 338221 # -1 # ID=5_271;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=15bp;gc_cont=0.430
NODE_5_length_339081_cov_37.984555:335390-338221|- -            944 9810191              -            634   5.8e-29   99.3   0.4   2   4   0.00073      0.68    6.5   0.0   154   221   215   280   203   285 0.88 NODE_5_length_339081_cov_37.984555_271 # 335390 # 338221 # -1 # ID=5_271;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=15bp;gc_cont=0.430
NODE_5_length_339081_cov_37.984555:335390-338221|- -            944 9810191              -            634   5.8e-29   99.3   0.4   3   4     0.075        70   -0.1   0.0   198   239   454   494   451   498 0.84 NODE_5_length_339081_cov_37.984555_271 # 335390 # 338221 # -1 # ID=5_271;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=15bp;gc_cont=0.430
NODE_5_length_339081_cov_37.984555:335390-338221|- -            944 9810191              -            634   5.8e-29   99.3   0.4   4   4   2.1e-07    0.0002   18.2   0.1   316   494   715   864   707   884 0.81 NODE_5_length_339081_cov_37.984555_271 # 335390 # 338221 # -1 # ID=5_271;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=15bp;gc_cont=0.430
NODE_6_length_338063_cov_36.607788:103793-106423|+ -            877 9810191              -            634   1.1e-25   88.4   0.1   1   3     8e-10   7.4e-07   26.2   0.0     4    55    34    84    32   191 0.85 NODE_6_length_338063_cov_36.607788_86 # 103793 # 106423 # 1 # ID=6_86;partial=00;start_type=ATG;rbs_motif=TAAAA;rbs_spacer=14bp;gc_cont=0.452
NODE_6_length_338063_cov_36.607788:103793-106423|+ -            877 9810191              -            634   1.1e-25   88.4   0.1   2   3   5.2e-07   0.00048   16.9   0.1   174   240   346   413   307   416 0.81 NODE_6_length_338063_cov_36.607788_86 # 103793 # 106423 # 1 # ID=6_86;partial=00;start_type=ATG;rbs_motif=TAAAA;rbs_spacer=14bp;gc_cont=0.452
NODE_6_length_338063_cov_36.607788:103793-106423|+ -            877 9810191              -            634   1.1e-25   88.4   0.1   3   3   2.1e-14     2e-11   41.4   0.0   257   523   469   733   450   770 0.70 NODE_6_length_338063_cov_36.607788_86 # 103793 # 106423 # 1 # ID=6_86;partial=00;start_type=ATG;rbs_motif=TAAAA;rbs_spacer=14bp;gc_cont=0.452
NODE_3_length_402718_cov_33.543387:122434-125859|+ -           1142 9810191              -            634   1.9e-18   64.5   4.7   1   3   5.5e-08   5.1e-05   20.2   0.0    11    75    48   112    40   223 0.80 NODE_3_length_402718_cov_33.543387_103 # 122434 # 125859 # 1 # ID=3_103;partial=00;start_type=ATG;rbs_motif=TAAAA;rbs_spacer=14bp;gc_cont=0.415
NODE_3_length_402718_cov_33.543387:122434-125859|+ -           1142 9810191              -            634   1.9e-18   64.5   4.7   2   3   6.2e-05     0.058   10.1   0.1   177   239   467   529   400   533 0.78 NODE_3_length_402718_cov_33.543387_103 # 122434 # 125859 # 1 # ID=3_103;partial=00;start_type=ATG;rbs_motif=TAAAA;rbs_spacer=14bp;gc_cont=0.415
NODE_3_length_402718_cov_33.543387:122434-125859|+ -           1142 9810191              -            634   1.9e-18   64.5   4.7   3   3   2.7e-12   2.5e-09   34.4   0.2   238   571   604   939   597   956 0.68 NODE_3_length_402718_cov_33.543387_103 # 122434 # 125859 # 1 # ID=3_103;partial=00;start_type=ATG;rbs_motif=TAAAA;rbs_spacer=14bp;gc_cont=0.415
NODE_5_length_339081_cov_37.984555:181574-183049|+ -            492 9810191              -            634   8.8e-10   35.9   0.5   1   2   1.7e-08   1.6e-05   21.8   0.1    13    89    33   118    27   159 0.83 NODE_5_length_339081_cov_37.984555_138 # 181574 # 183049 # 1 # ID=5_138;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.488
NODE_5_length_339081_cov_37.984555:181574-183049|+ -            492 9810191              -            634   8.8e-10   35.9   0.5   2   2   1.1e-05     0.011   12.5   0.0   279   336   240   299   223   421 0.76 NODE_5_length_339081_cov_37.984555_138 # 181574 # 183049 # 1 # ID=5_138;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.488
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_downloads/lineages/bacteria_odb12/hmms/9810191at2.hmm
# Target file:     /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_results/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_results/auto_lineage/run_bacteria_odb12/hmmer_output/9810191at2.out --cpu 1 /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_downloads/lineages/bacteria_odb12/hmms/9810191at2.hmm /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment/busco_results/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/kpchuang/Documents/03_whole_genome_assembly/01_raw_reads/short_reads_assembly/04_short_reads_assembly/04_busco_assessment
# Date:            Thu Jan  1 15:37:31 2026
# [ok]
