#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_8_length_282777_cov_37.165398:139986-141413|- -            476 9807019              -            427  5.1e-151  501.6   1.0   1   1    1e-153  5.9e-151  501.4   1.0     6   426     8   468     3   469 0.94 NODE_8_length_282777_cov_37.165398_127 # 139986 # 141413 # -1 # ID=8_127;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=15bp;gc_cont=0.419
NODE_5_length_339081_cov_37.984555:223889-224917|- -            343 9807019              -            427   3.7e-06   24.3   0.0   1   3     2e-05     0.012   12.8   0.0   123   154    47    79     8    86 0.81 NODE_5_length_339081_cov_37.984555_171 # 223889 # 224917 # -1 # ID=5_171;partial=00;start_type=ATG;rbs_motif=TAAAA;rbs_spacer=5bp;gc_cont=0.504
NODE_5_length_339081_cov_37.984555:223889-224917|- -            343 9807019              -            427   3.7e-06   24.3   0.0   2   3      0.53   3.1e+02   -1.8   0.0   192   204   107   119   102   121 0.85 NODE_5_length_339081_cov_37.984555_171 # 223889 # 224917 # -1 # ID=5_171;partial=00;start_type=ATG;rbs_motif=TAAAA;rbs_spacer=5bp;gc_cont=0.504
NODE_5_length_339081_cov_37.984555:223889-224917|- -            343 9807019              -            427   3.7e-06   24.3   0.0   3   3   0.00045      0.26    8.4   0.0   246   343   172   267   166   272 0.86 NODE_5_length_339081_cov_37.984555_171 # 223889 # 224917 # -1 # ID=5_171;partial=00;start_type=ATG;rbs_motif=TAAAA;rbs_spacer=5bp;gc_cont=0.504
NODE_2_length_424706_cov_34.285840:307550-308392|+ -            281 9807019              -            427   5.6e-06   23.7   0.0   1   1   1.5e-08   8.6e-06   23.1   0.0   130   232   108   209    95   222 0.84 NODE_2_length_424706_cov_34.285840_265 # 307550 # 308392 # 1 # ID=2_265;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=6bp;gc_cont=0.444
NODE_2_length_424706_cov_34.285840:195545-196816|- -            424 9807019              -            427   2.8e-05   21.4   0.0   1   1   7.5e-08   4.4e-05   20.8   0.0   129   207    37   111    11   120 0.77 NODE_2_length_424706_cov_34.285840_157 # 195545 # 196816 # -1 # ID=2_157;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=5bp;gc_cont=0.484
NODE_3_length_402718_cov_33.543387:304450-306984|- -            845 9807019              -            427     4e-05   20.9   1.3   1   3     0.016         9    3.3   0.0   126   163   228   265   212   321 0.73 NODE_3_length_402718_cov_33.543387_285 # 304450 # 306984 # -1 # ID=3_285;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=3bp;gc_cont=0.419
NODE_3_length_402718_cov_33.543387:304450-306984|- -            845 9807019              -            427     4e-05   20.9   1.3   2   3      0.77   4.4e+02   -2.3   0.0   216   242   421   447   413   470 0.85 NODE_3_length_402718_cov_33.543387_285 # 304450 # 306984 # -1 # ID=3_285;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=3bp;gc_cont=0.419
NODE_3_length_402718_cov_33.543387:304450-306984|- -            845 9807019              -            427     4e-05   20.9   1.3   3   3   9.7e-06    0.0056   13.8   0.7    93   174   531   612   444   615 0.57 NODE_3_length_402718_cov_33.543387_285 # 304450 # 306984 # -1 # ID=3_285;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=3bp;gc_cont=0.419
NODE_14_length_106925_cov_32.864293:63298-64335|+  -            346 9807019              -            427    0.0084   13.3   0.0   1   1   2.4e-05     0.014   12.5   0.0   134   171    26    65    10    74 0.86 NODE_14_length_106925_cov_32.864293_59 # 63298 # 64335 # 1 # ID=14_59;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.388
NODE_23_length_70738_cov_38.126081:8167-8586|+     -            140 9807019              -            427     0.013   12.6   0.0   1   1   3.2e-05     0.019   12.1   0.0   116   154    11    49     4    59 0.89 NODE_23_length_70738_cov_38.126081_8 # 8167 # 8586 # 1 # ID=23_8;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=12bp;gc_cont=0.452
NODE_15_length_100586_cov_37.517506:82852-83982|+  -            377 9807019              -            427     0.021   11.9   0.0   1   1   6.5e-05     0.038   11.1   0.0   131   203    20    87     7    95 0.89 NODE_15_length_100586_cov_37.517506_65 # 82852 # 83982 # 1 # ID=15_65;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=3bp;gc_cont=0.463
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
