#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_44_length_13308_cov_36.472300:7186-9312|-    -            709 9804305              -            706         0 1013.8   1.2   1   1         0         0 1013.6   1.2     5   701     5   707     1   708 0.97 NODE_44_length_13308_cov_36.472300_5 # 7186 # 9312 # -1 # ID=44_5;partial=00;start_type=ATG;rbs_motif=TAAAA;rbs_spacer=8bp;gc_cont=0.453
NODE_6_length_338063_cov_36.607788:97286-99079|+  -            598 9804305              -            706     9e-55  184.2  22.0   1   6   5.5e-05     0.043   10.1   0.2   612   697    34   113    22   118 0.84 NODE_6_length_338063_cov_36.607788_79 # 97286 # 99079 # 1 # ID=6_79;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=13bp;gc_cont=0.434
NODE_6_length_338063_cov_36.607788:97286-99079|+  -            598 9804305              -            706     9e-55  184.2  22.0   2   6   0.00015      0.12    8.7   0.7   610   704   113   204   108   206 0.85 NODE_6_length_338063_cov_36.607788_79 # 97286 # 99079 # 1 # ID=6_79;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=13bp;gc_cont=0.434
NODE_6_length_338063_cov_36.607788:97286-99079|+  -            598 9804305              -            706     9e-55  184.2  22.0   3   6   4.7e-18   3.7e-15   53.3   0.1   615   698   205   287   198   295 0.93 NODE_6_length_338063_cov_36.607788_79 # 97286 # 99079 # 1 # ID=6_79;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=13bp;gc_cont=0.434
NODE_6_length_338063_cov_36.607788:97286-99079|+  -            598 9804305              -            706     9e-55  184.2  22.0   4   6   1.9e-19   1.5e-16   57.9   0.3   620   701   295   377   289   382 0.91 NODE_6_length_338063_cov_36.607788_79 # 97286 # 99079 # 1 # ID=6_79;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=13bp;gc_cont=0.434
NODE_6_length_338063_cov_36.607788:97286-99079|+  -            598 9804305              -            706     9e-55  184.2  22.0   5   6   6.7e-19   5.2e-16   56.1   0.1   616   699   378   462   375   469 0.93 NODE_6_length_338063_cov_36.607788_79 # 97286 # 99079 # 1 # ID=6_79;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=13bp;gc_cont=0.434
NODE_6_length_338063_cov_36.607788:97286-99079|+  -            598 9804305              -            706     9e-55  184.2  22.0   6   6   3.4e-06    0.0026   14.1   0.2   621   704   470   549   464   553 0.87 NODE_6_length_338063_cov_36.607788_79 # 97286 # 99079 # 1 # ID=6_79;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=13bp;gc_cont=0.434
NODE_2_length_424706_cov_34.285840:94389-96512|-  -            708 9804305              -            706     5e-15   52.8   4.6   1   2    0.0045       3.5    3.8   0.9   198   335    47   186    15   189 0.63 NODE_2_length_424706_cov_34.285840_65 # 94389 # 96512 # -1 # ID=2_65;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=6bp;gc_cont=0.538
NODE_2_length_424706_cov_34.285840:94389-96512|-  -            708 9804305              -            706     5e-15   52.8   4.6   2   2   3.4e-17   2.7e-14   50.4   0.2   618   693   630   705   621   707 0.94 NODE_2_length_424706_cov_34.285840_65 # 94389 # 96512 # -1 # ID=2_65;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=6bp;gc_cont=0.538
NODE_19_length_79805_cov_35.801074:18303-19838|-  -            512 9804305              -            706   4.3e-05   20.0   3.7   1   3         6   4.6e+03   -8.5  14.4   217   294    73   150    28   168 0.44 NODE_19_length_79805_cov_35.801074_21 # 18303 # 19838 # -1 # ID=19_21;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.465
NODE_19_length_79805_cov_35.801074:18303-19838|-  -            512 9804305              -            706   4.3e-05   20.0   3.7   2   3         6   4.6e+03   -9.6  17.8   204   304    74   176    58   199 0.61 NODE_19_length_79805_cov_35.801074_21 # 18303 # 19838 # -1 # ID=19_21;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.465
NODE_19_length_79805_cov_35.801074:18303-19838|-  -            512 9804305              -            706   4.3e-05   20.0   3.7   3   3   5.6e-08   4.3e-05   20.0   3.7   517   630   167   274   160   284 0.83 NODE_19_length_79805_cov_35.801074_21 # 18303 # 19838 # -1 # ID=19_21;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.465
