# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	tRNA	2	75	+	BOFHPH_00001	77.5	-	-	-	-	-
contig_1	cds	320	2395	-	BOFHPH_00002	790.0	7.4e-281	0.999	0.999	0.570	UniRef:UniRef50_UPI001BFF651C
contig_1	ncRNA	3123	3207	+	BOFHPH_00003	83.8	4.4e-13	-	-	-	RFAM:RF01694
contig_1	cds	3350	3757	-	BOFHPH_00004	207.0	5.1e-68	0.993	0.865	0.679	UniRef:UniRef50_K5CKX9
contig_1	cds	3763	4005	+	BOFHPH_00005	-	-	-	-	-	-
contig_1	cds	3967	4788	-	BOFHPH_00006	313.0	5.4e-106	1.004	0.979	0.558	UniRef:UniRef50_I9PUD2
contig_1	cds	4831	5196	-	BOFHPH_00007	169.0	2.1e-53	1.033	0.828	0.680	UniRef:UniRef50_Q8A6H9
contig_1	cds	5302	6108	-	BOFHPH_00008	293.0	2.4e-98	0.996	0.993	0.536	UniRef:UniRef50_K9EG79
contig_1	cds	6312	7205	+	BOFHPH_00009	-	-	-	-	-	-
contig_1	cds	7142	7321	-	BOFHPH_00010	-	-	-	-	-	-
contig_1	cds	7554	8393	+	BOFHPH_00011	420.0	6.8e-148	0.996	0.965	0.716	UniRef:UniRef50_C6IL05
contig_1	cds	8437	9030	+	BOFHPH_00012	279.0	2.3e-94	1.025	0.852	0.668	UniRef:UniRef50_A0A0P0GNY8
contig_1	cds	9060	9791	+	BOFHPH_00013	252.0	9.9e-83	0.909	0.870	0.529	UniRef:UniRef50_A0A1Y3V5Z6
contig_1	cds	9870	10355	+	BOFHPH_00014	325.0	2.0e-114	1.0	1.0	1.0	UniRef:UniRef50_A0A0I9UJ64
contig_1	cds	10380	10772	-	BOFHPH_00015	233.0	1.1e-78	1.0	0.929	0.869	UniRef:UniRef50_A0A2M9V9X0
contig_1	cds	10966	11898	+	BOFHPH_00016	534.0	7.2e-192	1.0	0.957	0.835	UniRef:UniRef50_I9VNV9
contig_1	cds	12330	13367	+	BOFHPH_00017	345.0	2.4e-116	0.870	0.847	0.547	UniRef:UniRef50_A0A3B9ZUD0
contig_1	cds	13647	14120	+	BOFHPH_00018	256.0	7.2e-87	0.994	0.902	0.756	UniRef:UniRef50_I9BC22
contig_1	cds	14127	17792	-	BOFHPH_00019	1182.0	0.0	0.999	0.999	0.546	UniRef:UniRef50_A0A0F5J636
contig_1	cds	17776	18336	-	BOFHPH_00020	191.0	1.2e-60	1.005	1.011	0.519	UniRef:UniRef50_D1W4P4
contig_1	cds	18475	19689	-	BOFHPH_00021	714.0	6.1e-260	1.0	1.0	0.941	UniRef:UniRef50_A0A1M4W3X8
contig_1	cds	19720	20652	-	BOFHPH_00022	363.0	6.1e-124	0.929	0.823	0.649	UniRef:UniRef50_F0R659
contig_1	cds	20737	21033	+	BOFHPH_00023	136.0	3.2e-41	1.041	0.823	0.637	UniRef:UniRef50_K5ZC39
contig_1	cds	21115	22245	+	BOFHPH_00024	468.0	2.0e-163	0.987	0.907	0.612	UniRef:UniRef50_G5HAQ9
contig_1	cds	22438	22575	+	BOFHPH_00025	-	-	-	-	-	-
contig_1	cds	22967	23458	+	BOFHPH_00026	-	-	-	-	-	-
contig_1	cds	23473	24213	+	BOFHPH_00027	335.0	3.8e-115	0.984	0.906	0.694	UniRef:UniRef50_I9VNL1
contig_1	cds	24261	24530	+	BOFHPH_00028	124.0	8.3e-37	0.978	0.861	0.644	UniRef:UniRef50_F3ZSJ0
contig_1	cds	24723	24986	-	BOFHPH_00029	-	-	-	-	-	-
contig_1	cds	25021	26346	-	BOFHPH_00030	576.0	3.7e-204	1.0	0.967	0.655	UniRef:UniRef50_A6LDZ0
contig_1	cds	26395	27252	-	BOFHPH_00031	326.0	2.6e-110	0.856	0.805	0.631	UniRef:UniRef50_I9SAB8
