#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_6_length_338063_cov_36.607788:236583-237200|+ -            206 9812943              -            178   4.1e-34  116.1   0.1   1   1   7.3e-37   5.6e-34  115.7   0.1     2   172     3   190     2   195 0.85 NODE_6_length_338063_cov_36.607788_192 # 236583 # 237200 # 1 # ID=6_192;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.392
NODE_5_length_339081_cov_37.984555:145519-146058|- -            180 9812943              -            178   3.8e-06   25.0   0.4   1   2   3.1e-07   0.00024   19.2   0.0     1    39     1    40     1    64 0.84 NODE_5_length_339081_cov_37.984555_106 # 145519 # 146058 # -1 # ID=5_106;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=12bp;gc_cont=0.439
NODE_5_length_339081_cov_37.984555:145519-146058|- -            180 9812943              -            178   3.8e-06   25.0   0.4   2   2     0.021        16    3.4   0.3   135   176   130   171    90   173 0.84 NODE_5_length_339081_cov_37.984555_106 # 145519 # 146058 # -1 # ID=5_106;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=12bp;gc_cont=0.439
NODE_1_length_523019_cov_35.337313:146979-147587|+ -            203 9812943              -            178   3.7e-05   21.8   6.4   1   2   4.2e-06    0.0033   15.5   1.6     1    19     1    19     1    28 0.90 NODE_1_length_523019_cov_35.337313_125 # 146979 # 147587 # 1 # ID=1_125;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=3bp;gc_cont=0.471
NODE_1_length_523019_cov_35.337313:146979-147587|+ -            203 9812943              -            178   3.7e-05   21.8   6.4   2   2    0.0004      0.31    9.0   0.2   110   138   119   147    97   162 0.85 NODE_1_length_523019_cov_35.337313_125 # 146979 # 147587 # 1 # ID=1_125;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=3bp;gc_cont=0.471
NODE_10_length_157613_cov_33.680873:28167-29627|-  -            487 9812943              -            178    0.0049   14.9   0.3   1   3    0.0041       3.2    5.8   0.0     4    23    33    52    31   114 0.77 NODE_10_length_157613_cov_33.680873_26 # 28167 # 29627 # -1 # ID=10_26;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=12bp;gc_cont=0.500
NODE_10_length_157613_cov_33.680873:28167-29627|-  -            487 9812943              -            178    0.0049   14.9   0.3   2   3     0.036        28    2.7   0.0    87   118   174   205   166   211 0.88 NODE_10_length_157613_cov_33.680873_26 # 28167 # 29627 # -1 # ID=10_26;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=12bp;gc_cont=0.500
NODE_10_length_157613_cov_33.680873:28167-29627|-  -            487 9812943              -            178    0.0049   14.9   0.3   3   3     0.041        32    2.5   0.1     4    21   273   290   271   297 0.86 NODE_10_length_157613_cov_33.680873_26 # 28167 # 29627 # -1 # ID=10_26;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=12bp;gc_cont=0.500
NODE_2_length_424706_cov_34.285840:324500-326158|+ -            553 9812943              -            178    0.0077   14.3   4.0   1   3   0.00089      0.69    7.9   0.5     3    22    27    46    26    53 0.88 NODE_2_length_424706_cov_34.285840_285 # 324500 # 326158 # 1 # ID=2_285;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.452
NODE_2_length_424706_cov_34.285840:324500-326158|+ -            553 9812943              -            178    0.0077   14.3   4.0   2   3      0.38     3e+02   -0.7   0.0    21    61    67   102    63   104 0.83 NODE_2_length_424706_cov_34.285840_285 # 324500 # 326158 # 1 # ID=2_285;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.452
NODE_2_length_424706_cov_34.285840:324500-326158|+ -            553 9812943              -            178    0.0077   14.3   4.0   3   3    0.0051         4    5.4   0.1     3    30   349   374   347   380 0.84 NODE_2_length_424706_cov_34.285840_285 # 324500 # 326158 # 1 # ID=2_285;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.452
